player,result,shot distance,x,y
Joe Johnson,missed,15ft,12,13
Joe Johnson,made,23ft,48,7
Joe Johnson,missed,25ft,6,23
Joe Johnson,made,25ft,33,30
Joe Johnson,made,25ft,2,17
Joe Johnson,made,26ft,38,28
Joe Johnson,missed,26ft,47,19
Joe Johnson,missed,26ft,27,32
Joe Johnson,missed,6ft,25,12
Joe Johnson,missed,6ft,28,11
Joe Johnson,missed,8ft,19,12
Joe Johnson,made,9ft,16,7
Jorge Gutierrez,made,18ft,37,19
Jorge Gutierrez,made,19ft,14,21
Jorge Gutierrez,made,1ft,26,6
Josh Mcroberts,made,1ft,24,87
Josh Mcroberts,made,1ft,26,88
Josh Mcroberts,made,1ft,26,87
Josh Mcroberts,made,1ft,25,87
Josh Mcroberts,made,2ft,24,86
Josh McRoberts,missed,3ft,25,85
Kemba Walker,missed,10ft,35,85
Kemba Walker,made,12ft,24,76
Kemba Walker,made,15ft,35,77
Kemba Walker,missed,15ft,24,73
Kemba Walker,made,16ft,11,81
Kemba Walker,made,17ft,40,80
Kemba Walker,missed,18ft,19,71
Kemba Walker,missed,19ft,10,77
Kemba Walker,missed,19ft,24,69
Kemba Walker,made,19ft,16,71
Kemba Walker,missed,1ft,24,87
Kemba Walker,missed,1ft,25,87
Kemba Walker,missed,23ft,2,84
Kemba Walker,missed,23ft,48,86
Kemba Walker,missed,26ft,45,71
Kemba Walker,missed,26ft,16,64
Kemba Walker,made,28ft,36,62
Kemba Walker,made,28ft,39,64
Kemba Walker,made,2ft,27,88
Kemba Walker,missed,2ft,23,88
Kemba Walker,missed,9ft,25,79
Luke Ridnour,made,16ft,10,84
Luke Ridnour,made,18ft,7,85
Luke Ridnour,made,19ft,44,84
Luke Ridnour,made,25ft,13,66
Luke Ridnour,missed,27ft,44,69
Mason Plumlee,made,1ft,25,7
Mason Plumlee,missed,1ft,24,6
Mason Plumlee,made,1ft,24,6
Michael Kidd-Gilchrist,missed,17ft,25,71
Michael Kidd-Gilchrist,made,19ft,39,75
Michael Kidd-Gilchrist,missed,1ft,26,88
Michael Kidd-Gilchrist,made,1ft,25,87
Michael Kidd-Gilchrist,missed,3ft,28,88
Mirza Teletovic,missed,25ft,32,30
Mirza Teletovic,missed,25ft,23,31
Mirza Teletovic,made,25ft,18,30
Mirza Teletovic,missed,25ft,46,20
Mirza Teletovic,made,26ft,21,32
Mirza Teletovic,missed,26ft,34,30
Mirza Teletovic,made,26ft,13,29
Mirza Teletovic,made,26ft,21,32
Mirza Teletovic,missed,26ft,4,21
Mirza Teletovic,made,26ft,38,28
Mirza Teletovic,made,27ft,31,32
Mirza Teletovic,missed,56ft,33,61
Paul Pierce,made,10ft,19,14
Paul Pierce,made,11ft,18,14
Paul Pierce,missed,11ft,27,17
Paul Pierce,made,25ft,32,30
Paul Pierce,missed,26ft,20,32
Paul Pierce,missed,26ft,35,30
Paul Pierce,missed,26ft,20,32
Shaun Livingston,made,10ft,21,15
Shaun Livingston,made,16ft,22,22
Shaun Livingston,missed,1ft,24,6
Shaun Livingston,made,2ft,27,6
Shaun Livingston,missed,9ft,16,9
Shaun Livingston,missed,9ft,29,14
